timestamp,class_id,score,x_min,y_min,x_max,y_max
2025-08-12T18:36:02.871608,2,0.383,982,616,1052,655
2025-08-12T18:36:02.964310,-1,1.000,850,1123,945,1239
2025-08-12T18:36:03.031937,-1,1.000,854,1131,945,1242
2025-08-12T18:36:03.098905,-1,1.000,853,1130,948,1246
2025-08-12T18:36:03.166477,-1,1.000,853,1130,948,1246
2025-08-12T18:36:03.232609,2,0.541,855,1137,953,1253
2025-08-12T18:36:03.232754,2,0.473,1367,606,1435,639
2025-08-12T18:36:03.233072,2,0.433,1105,619,1177,650
2025-08-12T18:36:03.233150,2,0.398,979,615,1048,654
2025-08-12T18:36:03.322198,-1,1.000,855,1137,953,1253
2025-08-12T18:36:03.390285,-1,1.000,855,1138,953,1254
2025-08-12T18:36:03.456919,-1,1.000,855,1138,953,1254
2025-08-12T18:36:03.524769,-1,1.000,861,1148,961,1266
2025-08-12T18:36:03.593883,2,0.528,862,1152,960,1264
2025-08-12T18:36:03.594046,2,0.364,979,613,1053,655
2025-08-12T18:36:03.682958,-1,1.000,862,1152,960,1264
2025-08-12T18:36:03.748128,-1,1.000,865,1159,961,1269
2025-08-12T18:36:03.814680,-1,1.000,866,1159,962,1269
2025-08-12T18:36:03.883333,-1,1.000,868,1163,968,1277
2025-08-12T18:36:03.948297,2,0.379,974,614,1051,656
2025-08-12T18:36:04.035389,-1,1.000,974,614,1051,656
2025-08-12T18:36:04.099794,-1,1.000,973,614,1050,656
2025-08-12T18:36:04.165820,-1,1.000,973,614,1050,656
2025-08-12T18:36:04.231169,-1,1.000,974,615,1051,657
2025-08-12T18:36:04.305558,2,0.567,871,1167,971,1280
2025-08-12T18:36:04.305745,4,0.451,2029,288,2871,1000
2025-08-12T18:36:04.306034,2,0.436,1364,611,1431,642
2025-08-12T18:36:04.306110,2,0.393,973,614,1046,656
2025-08-12T18:36:04.306173,2,0.358,1107,621,1181,655
2025-08-12T18:36:04.802314,-1,1.000,2022,279,2881,1005
2025-08-12T18:36:05.066764,-1,1.000,2024,278,2883,1004
2025-08-12T18:36:05.317785,-1,1.000,2025,277,2884,1003
2025-08-12T18:36:05.568162,-1,1.000,2022,278,2881,1004
2025-08-12T18:36:05.643999,2,0.501,879,1183,984,1310
2025-08-12T18:36:05.644159,2,0.383,1107,621,1179,655
2025-08-12T18:36:05.644441,2,0.377,973,614,1045,655
2025-08-12T18:36:05.644507,2,0.374,1364,608,1427,639
2025-08-12T18:36:05.737681,-1,1.000,883,1189,988,1316
2025-08-12T18:36:05.806970,-1,1.000,883,1190,988,1317
2025-08-12T18:36:05.877949,-1,1.000,883,1190,988,1317
2025-08-12T18:36:05.949604,-1,1.000,886,1196,991,1323
2025-08-12T18:36:06.014921,2,0.569,884,1197,994,1314
2025-08-12T18:36:06.015102,4,0.380,2021,289,2871,1012
2025-08-12T18:36:06.015168,2,0.359,1362,609,1426,641
2025-08-12T18:36:06.015230,2,0.351,972,613,1044,653
2025-08-12T18:36:06.456960,-1,1.000,2015,280,2882,1017
2025-08-12T18:36:06.736173,-1,1.000,2017,279,2884,1016
2025-08-12T18:36:06.987294,-1,1.000,2017,280,2884,1017
2025-08-12T18:36:07.308891,-1,1.000,2009,270,2893,1022
2025-08-12T18:36:07.428362,2,0.726,894,1210,998,1333
2025-08-12T18:36:07.428525,2,0.420,1363,611,1425,642
2025-08-12T18:36:07.428592,2,0.398,1103,620,1180,650
2025-08-12T18:36:07.428691,4,0.397,2039,289,2871,1012
2025-08-12T18:36:07.428748,2,0.373,969,613,1043,653
2025-08-12T18:36:07.840695,-1,1.000,2040,287,2872,1010
2025-08-12T18:36:08.073680,-1,1.000,2047,290,2863,999
2025-08-12T18:36:08.316575,-1,1.000,2042,285,2874,1008
2025-08-12T18:36:08.571705,-1,1.000,2033,278,2882,1015
2025-08-12T18:36:08.646213,2,0.798,901,1221,1011,1344
